  1.5955326e+01   1.5960888e+01   11.0  4.0
  1.5960888e+01   1.5966450e+01   11.0  4.0
  1.5966450e+01   1.5972012e+01   11.0  4.0
  1.5972012e+01   1.5977573e+01   11.0  4.0
  1.5977573e+01   1.5983134e+01   11.0  4.0
  1.5983134e+01   1.5988696e+01   13.0  4.7
  1.5988696e+01   1.5994258e+01   25.0  7.0
  1.5994258e+01   1.5999820e+01   40.0  9.0
  1.5999820e+01   1.6005383e+01   75.0 11.0
  1.6005383e+01   1.6010944e+01  110.0 13.0
  1.6010944e+01   1.6016504e+01  100.0 12.6
  1.6016504e+01   1.6022066e+01   70.0 11.0
  1.6022066e+01   1.6027628e+01   90.0 12.0
  1.6027628e+01   1.6033190e+01   65.0 10.5
  1.6033190e+01   1.6038752e+01   45.0  9.0
  1.6038752e+01   1.6044313e+01   30.0  8.0
  1.6044313e+01   1.6049873e+01   19.0  6.0
  1.6049873e+01   1.6055435e+01   13.0  4.8
  1.6055435e+01   1.6060997e+01   11.0  4.0
  1.6060997e+01   1.6066559e+01   11.0  4.0
  1.6066559e+01   1.6072121e+01   11.0  4.0
  1.6072121e+01   1.6077682e+01   11.0  4.0
